,G,I,Q,H
0,True,253.1119141886943,1253.5235774639948,True
1,True,253.66622394279673,1369.7625370868639,True
2,False,227.24748021126695,882.8784319516182,False
3,False,320.0420708207787,1271.244189646556,True
4,False,169.92672520774215,703.971391904423,False
5,False,200.36920009679596,788.462608006599,False
6,False,233.08867505145008,1043.5324479916621,False
7,False,280.2128101342262,1173.4626988393456,True
8,False,207.39330039284707,875.9622890158073,False
9,False,251.13239586507459,1043.1503776232216,False
10,True,284.98822475267076,1374.2732370131866,True
11,True,311.30896518686,1544.3697743078937,True
12,True,192.85302770164304,901.608504959514,False
13,True,211.48780246873253,967.6206399570275,False
14,False,190.88439777998295,762.8231961824216,False
15,True,205.4690758813646,1191.2330168340716,True
16,False,151.1473576243821,657.7123784324733,False
17,False,183.07553564077472,651.8924744474662,False
18,True,342.2104498258668,1724.213962258459,True
19,False,270.93531586831244,982.065356386137,False
20,True,188.84599457982665,974.3066997134382,False
21,True,216.7158610310705,1114.4868201159256,False
22,True,262.66386615823313,1254.5619634850864,True
23,True,214.1421913593436,1146.6688810870676,True
24,True,209.2913798052709,1057.3107847344004,True
25,False,166.85337573640305,568.7539893835097,False
26,False,275.1039443591403,1081.0748636063843,False
27,False,245.29795517540137,1043.5554578555095,False
28,False,213.37995673285445,919.8641734501197,False
29,False,265.5908251313982,1087.7299329503296,True
30,False,323.69930223633185,1255.725792630454,True
31,True,253.5998223126257,1334.6468143251338,True
32,False,376.28968791034464,1522.579072600747,True
33,False,297.6641456319145,1109.6032459313237,False
34,True,295.8060551181256,1481.899181425086,True
35,True,258.95327884430463,1357.2849440731864,True
36,True,262.60642381645545,1365.5842372616055,True
37,False,277.5772069346765,1151.847294708023,False
38,True,217.05763006698038,1248.2830185937394,False
39,False,240.56347990290897,942.7975133188685,False
40,True,509.1087929656683,2338.104630395352,True
41,False,321.94690153509214,1169.5709053022792,True
42,False,229.96549478092544,892.8654908396809,False
43,False,163.0803442631899,668.6182102761877,False
44,False,192.6113077192732,762.1555658014082,False
45,True,264.8890267388045,1222.1570196029738,True
46,True,267.83121688882056,1394.8897301354682,True
47,False,191.92027096133813,764.3573434773214,False
48,True,213.90553389125768,1005.2799458148478,False
49,False,307.6204577346951,1258.390864511929,True
50,False,335.63472961522615,1374.363776504195,True
51,True,250.9639962709634,1355.9800839508475,True
52,True,303.6028838768549,1602.725221912496,True
53,False,420.59575352450724,1731.6418554687891,True
54,True,204.9676948540098,1080.6484984872209,False
55,True,288.727275395488,1426.168645857302,True
56,False,274.8070626605761,1117.2952139564418,True
57,False,307.13490697874636,1216.5227882673955,True
